timestamp,beats per minute,data source
2017-10-08T00:33:15Z,73.0,Charge HR
2017-10-08T00:33:20Z,69.0,Charge HR
2017-10-08T00:33:30Z,68.0,Charge HR
2017-10-08T00:33:35Z,69.0,Charge HR
2017-10-08T00:33:40Z,67.0,Charge HR
2017-10-08T00:33:45Z,65.0,Charge HR
2017-10-08T00:33:50Z,64.0,Charge HR
2017-10-08T00:34:05Z,67.0,Charge HR
2017-10-08T00:34:15Z,65.0,Charge HR
2017-10-08T00:34:30Z,67.0,Charge HR
2017-10-08T00:34:40Z,66.0,Charge HR
2017-10-08T00:34:50Z,67.0,Charge HR
2017-10-08T00:34:55Z,68.0,Charge HR
2017-10-08T00:35:00Z,70.0,Charge HR
2017-10-08T00:35:10Z,71.0,Charge HR
2017-10-08T00:35:15Z,75.0,Charge HR
2017-10-08T00:35:30Z,75.0,Charge HR
2017-10-08T00:35:35Z,74.0,Charge HR
2017-10-08T00:35:45Z,77.0,Charge HR
2017-10-08T00:35:55Z,76.0,Charge HR
2017-10-08T00:36:00Z,75.0,Charge HR
2017-10-08T00:36:10Z,76.0,Charge HR
2017-10-08T00:36:15Z,77.0,Charge HR
2017-10-08T00:36:25Z,78.0,Charge HR
2017-10-08T00:36:30Z,76.0,Charge HR
2017-10-08T00:36:35Z,77.0,Charge HR
2017-10-08T00:36:40Z,78.0,Charge HR
2017-10-08T00:36:45Z,76.0,Charge HR
2017-10-08T00:36:55Z,74.0,Charge HR
2017-10-08T00:37:00Z,70.0,Charge HR
2017-10-08T00:37:05Z,67.0,Charge HR
2017-10-08T00:37:10Z,65.0,Charge HR
2017-10-08T00:37:20Z,67.0,Charge HR
2017-10-08T00:37:25Z,69.0,Charge HR
2017-10-08T00:37:35Z,68.0,Charge HR
2017-10-08T00:37:40Z,68.0,Charge HR
2017-10-08T00:37:45Z,68.0,Charge HR
2017-10-08T00:37:50Z,69.0,Charge HR
2017-10-08T00:38:00Z,70.0,Charge HR
2017-10-08T00:38:05Z,72.0,Charge HR
2017-10-08T00:38:10Z,71.0,Charge HR
2017-10-08T00:38:15Z,70.0,Charge HR
2017-10-08T00:38:20Z,71.0,Charge HR
2017-10-08T00:38:30Z,64.0,Charge HR
2017-10-08T00:38:35Z,64.0,Charge HR
2017-10-08T00:38:40Z,61.0,Charge HR
2017-10-08T00:38:45Z,57.0,Charge HR
2017-10-08T00:38:50Z,59.0,Charge HR
2017-10-08T00:38:55Z,60.0,Charge HR
2017-10-08T00:39:00Z,61.0,Charge HR
2017-10-08T00:39:05Z,62.0,Charge HR
2017-10-08T00:39:10Z,65.0,Charge HR
2017-10-08T00:39:20Z,66.0,Charge HR
2017-10-08T00:39:30Z,67.0,Charge HR
2017-10-08T00:39:40Z,64.0,Charge HR
2017-10-08T00:39:50Z,62.0,Charge HR
2017-10-08T00:40:00Z,62.0,Charge HR
2017-10-08T00:40:10Z,62.0,Charge HR
2017-10-08T00:40:25Z,62.0,Charge HR
2017-10-08T00:40:30Z,58.0,Charge HR
2017-10-08T00:40:40Z,60.0,Charge HR
2017-10-08T00:40:50Z,62.0,Charge HR
2017-10-08T00:41:00Z,61.0,Charge HR
2017-10-08T00:41:10Z,60.0,Charge HR
2017-10-08T00:41:20Z,63.0,Charge HR
2017-10-08T00:41:35Z,63.0,Charge HR
2017-10-08T00:41:40Z,64.0,Charge HR
2017-10-08T00:41:50Z,62.0,Charge HR
2017-10-08T00:42:00Z,61.0,Charge HR
2017-10-08T00:42:10Z,64.0,Charge HR
2017-10-08T00:42:20Z,64.0,Charge HR
2017-10-08T00:42:30Z,60.0,Charge HR
2017-10-08T00:42:40Z,60.0,Charge HR
2017-10-08T00:42:50Z,60.0,Charge HR
2017-10-08T00:43:00Z,60.0,Charge HR
2017-10-08T00:43:15Z,60.0,Charge HR
2017-10-08T00:43:20Z,61.0,Charge HR
2017-10-08T00:43:30Z,63.0,Charge HR
2017-10-08T00:43:40Z,63.0,Charge HR
2017-10-08T00:43:50Z,65.0,Charge HR
2017-10-08T00:44:00Z,59.0,Charge HR
2017-10-08T00:44:10Z,62.0,Charge HR
2017-10-08T00:44:20Z,64.0,Charge HR
2017-10-08T00:44:25Z,63.0,Charge HR
2017-10-08T00:44:30Z,63.0,Charge HR
2017-10-08T00:44:40Z,62.0,Charge HR
2017-10-08T00:44:50Z,61.0,Charge HR
2017-10-08T00:45:05Z,60.0,Charge HR
2017-10-08T00:45:10Z,63.0,Charge HR
2017-10-08T00:45:20Z,62.0,Charge HR
2017-10-08T00:45:30Z,59.0,Charge HR
2017-10-08T00:45:35Z,59.0,Charge HR
2017-10-08T00:45:40Z,60.0,Charge HR
2017-10-08T00:45:50Z,66.0,Charge HR
2017-10-08T00:45:55Z,64.0,Charge HR
2017-10-08T00:46:10Z,64.0,Charge HR
2017-10-08T00:46:25Z,64.0,Charge HR
2017-10-08T00:46:35Z,65.0,Charge HR
2017-10-08T00:46:40Z,66.0,Charge HR
2017-10-08T00:46:55Z,66.0,Charge HR
2017-10-08T00:47:00Z,65.0,Charge HR
2017-10-08T00:47:05Z,64.0,Charge HR
2017-10-08T00:47:10Z,66.0,Charge HR
2017-10-08T00:47:20Z,60.0,Charge HR
2017-10-08T00:47:30Z,57.0,Charge HR
2017-10-08T00:47:35Z,59.0,Charge HR
2017-10-08T00:47:40Z,64.0,Charge HR
2017-10-08T00:47:50Z,62.0,Charge HR
2017-10-08T00:47:55Z,63.0,Charge HR
2017-10-08T00:48:00Z,64.0,Charge HR
2017-10-08T00:48:10Z,64.0,Charge HR
2017-10-08T00:48:20Z,66.0,Charge HR
2017-10-08T00:48:30Z,68.0,Charge HR
